id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32353069,Superbe Loft Avec Tranquilité ( Vieux Québec ),241075111,Eric,,Saint-Jean-Baptiste,46.81055,-71.21857,Entire home/apt,88,1,108,2020-02-23,3.72,11,309
32363278,"Le 315B Locations Vieux Limoilou ""Parking""",9665972,Helene,,Vieux-Limoilou,46.82415,-71.22849,Entire home/apt,138,2,28,2019-12-24,1.09,5,243
32370548,Le Refuge,21460439,Christian,,Notre-Dame-des-Laurentides,46.92223,-71.35234,Entire home/apt,70,2,19,2020-03-19,1.03,1,0
32447610,Small & cozy room at 15min from Chateau Frontenac!,190796555,Doudlie,,Saint-Roch,46.81778,-71.21956,Private room,45,3,32,2019-08-11,1.12,1,0
32515631,"3-1/2  Québec city, 10min downtown 5min water fall",77511575,Martin,,Quartier 5-2,46.88136,-71.19591,Entire home/apt,70,2,84,2020-03-16,2.95,1,144
32575925,3 chambres privé dans un Logement 6 1/2,244819906,Chave,,Plateau,46.77368,-71.31712,Entire home/apt,99,2,2,2019-03-10,0.07,1,88
32576354,LE CALME EN BANLIEUE,36902486,Suzanne,,Neufchâtel-Est/Lebourgneuf,46.86469,-71.34033,Entire home/apt,110,3,9,2020-08-30,0.76,1,28
32604561,"Condo 2 chambres avec cachet, quartier branché",11886075,Blaise,,Saint-Roch,46.81618,-71.22155,Entire home/apt,128,3,2,2021-07-04,0.49,1,151
32605370,"OLD QUEBEC, FREE INTERIOR PARKING, IDEAL LOCATION",110956927,Claude,,Saint-Jean-Baptiste,46.80743,-71.22362,Entire home/apt,137,2,111,2020-03-14,3.91,1,175
32615108,Belle maison au coeur de la ville,26228887,Christian,,Sillery,46.76415,-71.27714,Entire home/apt,300,5,1,2019-08-11,0.04,2,21
32633171,Bienvenue au pied de la chute Montmorency,80285922,Catherine,,Chutes-Montmorency,46.87897,-71.15459,Entire home/apt,63,1,81,2019-10-27,3.34,3,283
32637105,Cozy and sunny downtown Quebec - ResidencesBNB,40736086,Jonathan,,Vieux-Limoilou,46.82399,-71.22777,Entire home/apt,100,28,25,2020-02-09,0.95,5,241
32665010,Private room+Free parking near Old Quebec,31635144,Jacky,,Saint-Jean-Baptiste,46.80509,-71.22471,Private room,34,1,36,2020-01-05,1.43,1,173
32680185,6 1/2 semi-sous-sol à louer,17461862,Ching,,Cité Universitaire,46.79051,-71.26686,Entire home/apt,40,31,1,2020-04-08,0.07,1,0
32749461,❤️Magnifique villa Historic-5 min DTown/8 BR/3BA❤️,50652393,Julie,,Quartier 5-4,46.859,-71.19344,Entire home/apt,414,2,40,2020-02-15,1.50,3,150
32764300,Grande maison familiale avec piscine creusée,76434719,Hugo Et Mel,,Quartier 5-2,46.89155,-71.19409,Entire home/apt,282,6,11,2019-08-15,0.46,1,23
32785084,Le studio Picasso Locations Vieux Limoilou 298015,9665972,Helene,,Vieux-Limoilou,46.825,-71.2288,Entire home/apt,118,2,13,2019-12-08,0.46,5,289
32789439,Chaleureuse maison de banlieue,54663466,Dan,,Notre-Dame-des-Laurentides,46.932,-71.32007,Entire home/apt,189,1,0,,,1,7
32874320,#649 Unique & Historic Loft: in a Former Bank,195649860,Claude,,Lairet,46.83252,-71.23311,Entire home/apt,60,1,0,,,14,296
32888524,Gigantesque appartement,246247494,David,,Saint-Roch,46.81287,-71.22845,Entire home/apt,142,1,196,2020-12-23,7.09,1,35
32889716,Au centre ville votre pied à terre,246562187,David,,Saint-Roch,46.81377,-71.2266,Entire home/apt,84,1,151,2020-02-25,5.55,1,254
32921243,Le domaine du lac saint Charles - chambre Queen,247692715,Joy Et Laurent,,Lac-Saint-Charles,46.93376,-71.37804,Private room,119,2,0,,,1,39
32981213,Charming little cottage near the lake,124115023,Denis,,Cap-Rouge,46.75823,-71.38769,Entire home/apt,170,3,37,2019-08-02,1.54,1,32
33039595,Logement lumineux près du centre ville de Québec,62268070,Priseille,,Saint-Sauveur,46.80609,-71.23436,Private room,31,2,13,2019-06-19,0.47,1,0
